title,authors,publisher,date
"R Graphics Cookbook, 2nd Edition",['Winston Chang'],O'Reilly Media,October 2018
Foundations for Architecting Data Solutions,"['Jonathan Seidman', 'Ted Malaska']",O'Reilly Media,August 2018
Learning GraphQL,"['Alex Banks', 'Eve Porcello']",O'Reilly Media,August 2018
Hands-On Unsupervised Learning Using Python,['Ankur Patel'],O'Reilly Media,July 2018
Natural Language Processing with PyTorch,['Delip Rao'],O'Reilly Media,July 2018
Take Control of Your Digital Storage,['Jeff Carlson'],Take Control Books,July 2018
Getting Started with Kudu,"['Jean-Marc Spaggiari', 'Mladen Kovacevic', 'Brock Noland', 'Ryan Bosshart']",O'Reilly Media,July 2018
Visualizing Streaming Data,['Anthony Aragues'],O'Reilly Media,June 2018
"Learning PHP, MySQL & JavaScript, 5th Edition",['Robin Nixon'],O'Reilly Media,May 2018
Practical Tableau,['Ryan Sleeper'],O'Reilly Media,April 2018
Feature Engineering for Machine Learning,"['Alice Zheng', 'Amanda Casari']",O'Reilly Media,March 2018
TensorFlow: Powerful Predictive Analytics with TensorFlow,['Md. Karim'],Packt Publishing,March 2018
AWS: Security Best Practices on AWS,['Albert Anthony'],Packt Publishing,March 2018
Mapping with ArcGIS Pro,"['Amy Rock', 'Ryan Malhoski']",Packt Publishing,March 2018
ArcGIS Pro 2.x Cookbook,['GISP Tripp Corbin'],Packt Publishing,February 2018
SQL Server 2017 Machine Learning Services with R,"['Tomaz Kastrun', 'Julie Koesmarno']",Packt Publishing,February 2018
Teradata Cookbook,"['Abhinav Khandelwal', 'Rajsekhar Bhamidipati']",Packt Publishing,February 2018
Python Web Scraping Cookbook,['Michael Heydt'],Packt Publishing,February 2018
Spark: The Definitive Guide,"['Matei Zaharia', 'Bill Chambers']",O'Reilly Media,February 2018
"IPython Interactive Computing and Visualization Cookbook, 2nd Edition",['Cyrille Rossant'],Packt Publishing,January 2018
Regression Analysis with R,['Giuseppe Ciaburro'],Packt Publishing,January 2018
Hands-On Data Structures and Algorithms with JavaScript,['Kashyap Mukkamala'],Packt Publishing,January 2018
Learning Einstein Analytics,['Santosh Chitalkar'],Packt Publishing,January 2018
Implementing Azure Cloud Design Patterns,"['Stefano Demiliani', 'Oliver Michalski']",Packt Publishing,January 2018
MySQL 8 Cookbook,['Karthik Appigatla'],Packt Publishing,January 2018
Selenium Framework Design in Data-Driven Testing,['Carl Cocchiaro'],Packt Publishing,January 2018
"Practical Mobile Forensics, 3rd Edition","['Satish Bommisetty', 'Rohit Tamma', 'Heather Mahalik', 'Oleg Skulkin']",Packt Publishing,January 2018
Practical Big Data Analytics,['Nataraj Dasgupta'],Packt Publishing,January 2018
Enterprise Cloud Security and Governance,['Zeal Vora'],Packt Publishing,December 2017
Qlik Sense: Advanced Data Visualization for Your Organization,"['Christopher Ilacqua', 'Henric Cronstrom', 'James Richardson', 'Ferran Pagans', '...']",Packt Publishing,December 2017
Python: Advanced Predictive Analytics,"['Ashish Kumar', 'Joseph Babcock']",Packt Publishing,December 2017
IBM SPSS Modeler Essentials,"['Keith McCormick', 'Jesus Salcedo']",Packt Publishing,December 2017
Apache Kafka 1.0 Cookbook,['Raul Estrada'],Packt Publishing,December 2017
Learning Elastic Stack 6.0,"['Pranav Shukla', 'Sharath N']",Packt Publishing,December 2017
Making Data Visual,"['Miriah Meyer', 'Danyel Fisher']",O'Reilly Media,December 2017
Hands-on DevOps,['Sricharan Vadapalli'],Packt Publishing,December 2017
SciPy Recipes,"['L. Martins', 'Ruben Ramos', 'V Ayyadevara']",Packt Publishing,December 2017
Learning Spark Streaming,['Francois Garillot'],O'Reilly Media,December 2017
Mastering VMware vSphere 6.5,"['Andrea Mauro', 'Paolo Valsecchi', 'Karel Novak']",Packt Publishing,December 2017
Mastering Entity Framework Core 2.0,['Prabhakaran Anbazhagan'],Packt Publishing,December 2017
Data Science on the Google Cloud Platform,['Valliappa Lakshmanan'],O'Reilly Media,December 2017
"Learning Pentaho Data Integration 8 CE, 3rd Edition",['Maria Roldan'],Packt Publishing,December 2017
"Learning PostgreSQL 10, 2nd Edition","['Salahaldin Juba', 'Andrey Volkov']",Packt Publishing,December 2017
Stream Analytics with Microsoft Azure,"['Anindita Basak', 'Krishna Venkataraman', 'Ryan Murphy', 'Manpreet Singh']",Packt Publishing,December 2017
"Learning D3.js 4 Mapping, 2nd Edition","['Thomas Newton', 'Oscar Villarreal', 'Lars Verspohl']",Packt Publishing,November 2017
Learning Apache Apex,"['Thomas Weise', 'Munagala Ramanath', 'David Yan', 'Kenneth Knowles']",Packt Publishing,November 2017
R Data Mining,['Andrea Cirillo'],Packt Publishing,November 2017
Learning Julia,"['Anshul Joshi', 'Rahul Lakhanpal']",Packt Publishing,November 2017
Big Data Analytics with SAS,['David Pope'],Packt Publishing,November 2017
R Data Visualization Recipes,['Vitor Lanzetta'],Packt Publishing,November 2017
R Data Analysis Projects,['Gopi Subramanian'],Packt Publishing,November 2017
Statistics for Data Science,['James Miller'],Packt Publishing,November 2017
Practical Data Wrangling,['Allan Visochek'],Packt Publishing,November 2017
Unlocking Financial Data,['Justin Pauley'],O'Reilly Media,November 2017
Web Scraping with Python,['Ryan Mitchell'],O'Reilly Media,November 2017
Mining the Social Web,"['Matthew A. Russell', 'Mikhail Klassen']",O'Reilly Media,November 2017
"Genomics Analysis with Spark, Docker, and Clouds","[""Brian D. O'Connor"", 'Geraldine van der Auwera']",O'Reilly Media,November 2017
Reactive Programming with RxJS 5,['Sergi Mansilla'],Pragmatic Bookshelf,November 2017
Seven Databases in Seven Weeks,"['Luc Perkins', 'Eric Redmond', 'Jim Wilson']",Pragmatic Bookshelf,November 2017
scikit-learn : Machine Learning Simplified,"['Trent Hauck', 'Raúl Garreta', 'Guillermo Moncecchi', 'Gavin Hackeling']",Packt Publishing,November 2017
Predictive Analytics with TensorFlow,['Md. Karim'],Packt Publishing,November 2017
"Mastering Windows PowerShell Scripting, 2nd Edition","['Brenton Blawat', 'Chris Dent']",Packt Publishing,October 2017
Mastering AWS Security,['Albert Anthony'],Packt Publishing,October 2017
Pandas Cookbook,['Theodore Petrou'],Packt Publishing,October 2017
"Machine Learning with R Cookbook, 2nd Edition","['Chiu Yu-Wei', 'AshishSingh Bhatia']",Packt Publishing,October 2017
Jupyter for Data Science,['Dan Toomey'],Packt Publishing,October 2017
MySQL 8 for Big Data,"['Chintan Mehta', 'Shabbir Challawala', 'Jaydip Lakhatariya', 'Kandarp Patel']",Packt Publishing,October 2017
"GeoServer Beginner's Guide, 2nd Edition",['Stefano Iacovella'],Packt Publishing,October 2017
A Common-Sense Guide to Data Structures and Algorithms,['Jay Wengrow'],Pragmatic Bookshelf,October 2017
Machine Learning and Security,"['Clarence Chio', 'David Freeman']",O'Reilly Media,October 2017
"Take Control of iCloud, 6th Edition",['Joe Kissell'],Take Control Books,October 2017
Practical Real-time Data Processing and Analytics,"['Saurabh Gupta', 'Shilpi Saxena']",Packt Publishing,September 2017
Practical Time Series Analysis,"['PKS Prakash', 'Avishek Pal']",Packt Publishing,September 2017
Microsoft Power BI Cookbook,['Brett Powell'],Packt Publishing,September 2017
Tableau 10 Bootcamp,"['Donabel Santos', 'Joshua Milligan']",Packt Publishing,September 2017
"Scala for Machine Learning, 2nd Edition",['Patrick Nicolas'],Packt Publishing,September 2017
"Python for Data Analysis, 2nd Edition",['William McKinney'],O'Reilly Media,September 2017
Data Analysis with IBM SPSS Statistics,"['Kenneth Stehlik-Barry', 'Anthony Babinec']",Packt Publishing,September 2017
Apache Spark 2.x Machine Learning Cookbook,"['Siamak Amirghodsi', 'Meenakshi Rajendran', 'Broderick Hall', 'Shuen Mei']",Packt Publishing,September 2017
"R Data Analysis Cookbook, 2nd Edition",['Kuntal Ganguly'],Packt Publishing,September 2017
Java Data Analysis,['John Hubbard'],Packt Publishing,September 2017
Scala Microservices,"['Jatin Puri', 'Selvam Palanimalai']",Packt Publishing,September 2017
"Network Security Through Data Analysis, 2nd Edition",['Michael Collins'],O'Reilly Media,September 2017
Kafka: The Definitive Guide,"['Gwen Shapira', 'Neha Narkhede', 'Todd Palino']",O'Reilly Media,August 2017
Mastering Machine Learning with Spark 2.x,"['Alex Tellez', 'Max Pumperla', 'Michal Malohlava']",Packt Publishing,August 2017
"Statistical Application Development with R and Python, 2nd Edition",['Prabhanjan Tattar'],Packt Publishing,August 2017
MATLAB for Machine Learning,['Giuseppe Ciaburro'],Packt Publishing,August 2017
TypeScript High Performance,['Ajinkya Kher'],Packt Publishing,August 2017
Building Data Streaming Applications with Apache Kafka,"['Manish Kumar', 'Chanchal Singh']",Packt Publishing,August 2017
Data Science Algorithms in a Week,['David Natingga'],Packt Publishing,August 2017
Interactive Data Visualization for the Web,['Scott Murray'],O'Reilly Media,August 2017
Think Data Structures,['Allen B. Downey'],O'Reilly Media,August 2017
"Learning Informatica PowerCenter 10.x, 2nd Edition",['Rahul Malewar'],Packt Publishing,August 2017
Learning TensorFlow,"['Itay Lieder', 'Yehezkel Resheff', 'Tom Hope']",O'Reilly Media,August 2017
Apache Mesos Cookbook,"['David Blomquist', 'Tomasz Janiszewski']",Packt Publishing,August 2017
Big Data Analytics with Java,['Rajat Mehta'],Packt Publishing,July 2017
Hands-On Data Science and Python Machine Learning,['Frank Kane'],Packt Publishing,July 2017
Python Social Media Analytics,"['Siddhartha Chatterjee', 'Michal Krystyanczuk']",Packt Publishing,July 2017
Einführung in Machine Learning mit Python,"['Sarah Guido', 'Andreas Müller']",O'Reilly Verlag via dpunkt,July 2017
Apache Spark 2.x for Java Developers,"['Sourav Gulati', 'Sumit Kumar']",Packt Publishing,July 2017
"Mastering Apache Spark 2.x, 2nd Edition",['Romeo Kienzler'],Packt Publishing,July 2017
Scala and Spark for Big Data Analytics,"['Md. Karim', 'Sridhar Alla']",Packt Publishing,July 2017
Machine Learning Algorithms,['Giuseppe Bonaccorso'],Packt Publishing,July 2017
Streaming Systems,"['Tyler Akidau', 'Slava Chernyak', 'Reuven Lax']",O'Reilly Media,July 2017
Machine Learning for OpenCV,['Michael Beyeler'],Packt Publishing,July 2017
Java: Data Science Made Easy,"['Richard Reese', 'Jennifer Reese', 'Alexey Grigorev']",Packt Publishing,July 2017
Principles of Data Wrangling,"['Joseph Hellerstein', 'Jeffrey Heer', 'Tye Rattenbury', 'Sean Kandel', 'Connor Carreras']",O'Reilly Media,June 2017
"Practical Data Science Cookbook, 2nd Edition","['Sean Murphy', 'Prabhanjan Tattar', 'Benjamin Bengfort', 'Tony Ojeda', 'Abhijit Dasgupta']",Packt Publishing,June 2017
"ArcPy and ArcGIS, 2nd Edition","['Silas Toms', ""Dara O'Beirne""]",Packt Publishing,June 2017
